code_course,name_course
MinesTelecom/04014,Innover et entreprendre dans un monde numerique
MinesTelecom/04017,Programmer un objet avec Arduino
MinesTelecom/04006,Fondamentaux pour le Big Data
MinesTelecom/04004,Roches et mineraux courants
MinesTelecom/04013,A la decouverte des telecommunications
MinesTelecom/04011,Routage et qualite de service dans l internet
MinesTelecom/04012,Objectif Ipv6
MinesTelecom/04002,La Fabrication numerique
MinesTelecom/04009,Introduction aux communications par satellites
MinesTelecom/04010,Comprendre la 4G
MinesTelecom/04003,Principes et reseaux de donnees
