"","Quest","course","id","course_specific_id","gender","year_of_birth","level_of_education","Categ_Socio_Prof","Taille_Ent","Domaine_Activite","Connaissance_Cours","Premier_Objectif","Niveau_Depart","Heures_Travail_Prevues","enrollment_time","country","certificate","unenroll"
"1","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs",NA,NA,NA,NA,NA,NA,"2h a 4h","2015-09-08 03:25:51","","True","False"
"2","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs",NA,NA,NA,NA,NA,"Intermediaire",NA,"2015-09-08 03:25:51","","True","False"
"3","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs",NA,NA,NA,NA,"Plaisir de se cultiver",NA,NA,"2015-09-08 03:25:51","","True","False"
"4","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs",NA,NA,NA,"Par les reseaux sociaux",NA,NA,NA,"2015-09-08 03:25:51","","True","False"
"5","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs",NA,NA,"Enseignement",NA,NA,NA,NA,"2015-09-08 03:25:51","","True","False"
"6","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs",NA,"Moins de 500",NA,NA,NA,NA,NA,"2015-09-08 03:25:51","","True","False"
"7","debut","MinesTelecom/04010/session01","f5ba728a9cb2112541022b82dc4130f92f925e0979d4fa2ebbdc102c6fa9a269","64b8d5a29964271a0535507725d178fe","f","1975","hs","Employe(e)",NA,NA,NA,NA,NA,NA,"2015-09-08 03:25:51","","True","False"
"8","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs",NA,NA,NA,NA,NA,NA,"Moins d'1h","2015-09-06 17:53:45","","True","True"
"9","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs",NA,NA,NA,NA,NA,"Debutant",NA,"2015-09-06 17:53:45","","True","True"
"10","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs",NA,NA,NA,NA,"Plaisir de se cultiver",NA,NA,"2015-09-06 17:53:45","","True","True"
"11","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs",NA,NA,NA,"Par la presse",NA,NA,NA,"2015-09-06 17:53:45","","True","True"
"12","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs",NA,NA,"Activites extra-territoriales",NA,NA,NA,NA,"2015-09-06 17:53:45","","True","True"
"13","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs",NA,"Vide",NA,NA,NA,NA,NA,"2015-09-06 17:53:45","","True","True"
"14","debut","MinesTelecom/04010/session01","71640b7a684467db7c52fa26a8d25096bfe75ef8a8ad08cb050d43e00941fec0","624b017261c3a38f54bfdcc639c7f741","m","1984","hs","En recherche d'emploi",NA,NA,NA,NA,NA,NA,"2015-09-06 17:53:45","","True","True"
"15","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m",NA,NA,NA,NA,NA,NA,"4h a 8h","2015-09-11 00:32:27","","True","True"
"16","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m",NA,NA,NA,NA,NA,"Intermediaire",NA,"2015-09-11 00:32:27","","True","True"
"17","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m",NA,NA,NA,NA,"Aide à la poursuite de ma carriere",NA,NA,"2015-09-11 00:32:27","","True","True"
"18","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m",NA,NA,NA,"Par la plateforme FUN",NA,NA,NA,"2015-09-11 00:32:27","","True","True"
"19","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m",NA,NA,"Activites specialisees, scientifiques et techniques",NA,NA,NA,NA,"2015-09-11 00:32:27","","True","True"
"20","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m",NA,"Moins de 500",NA,NA,NA,NA,NA,"2015-09-11 00:32:27","","True","True"
"21","debut","MinesTelecom/04010/session01","a85b6e60e6128cd89dc7ae2267623b72c4c7099329bd02e467afa8ad6dbbde60","b090b966b456910f90b137aad30aa113","m","1984","m","Employe(e)",NA,NA,NA,NA,NA,NA,"2015-09-11 00:32:27","","True","True"
"22","debut","MinesTelecom/04010/session01","ef912a7f10c9b01c347cc2ecfcf45db75583851b77a4eb91fa3ebf819dddc354","b7e0763ffe5d0958252e19db92de4bed","m","1977","hs",NA,NA,NA,NA,NA,NA,"1h a 2h","2015-09-02 15:06:57","","True","True"
"23","debut","MinesTelecom/04010/session01","ef912a7f10c9b01c347cc2ecfcf45db75583851b77a4eb91fa3ebf819dddc354","b7e0763ffe5d0958252e19db92de4bed","m","1977","hs",NA,NA,NA,NA,NA,"Intermediaire",NA,"2015-09-02 15:06:57","","True","True"
"24","debut","MinesTelecom/04010/session01","ef912a7f10c9b01c347cc2ecfcf45db75583851b77a4eb91fa3ebf819dddc354","b7e0763ffe5d0958252e19db92de4bed","m","1977","hs",NA,NA,NA,NA,"Plaisir de se cultiver",NA,NA,"2015-09-02 15:06:57","","True","True"
"25","debut","MinesTelecom/04010/session01","ef912a7f10c9b01c347cc2ecfcf45db75583851b77a4eb91fa3ebf819dddc354","b7e0763ffe5d0958252e19db92de4bed","m","1977","hs",NA,NA,NA,"Par la plateforme FUN",NA,NA,NA,"2015-09-02 15:06:57","","True","True"
"26","debut","MinesTelecom/04010/session01","ef912a7f10c9b01c347cc2ecfcf45db75583851b77a4eb91fa3ebf819dddc354","b7e0763ffe5d0958252e19db92de4bed","m","1977","hs",NA,NA,"Activites extra-territoriales",NA,NA,NA,NA,"2015-09-02 15:06:57","","True","True"
"27","debut","MinesTelecom/04010/session01","ef912a7f10c9b01c347cc2ecfcf45db75583851b77a4eb91fa3ebf819dddc354","b7e0763ffe5d0958252e19db92de4bed","m","1977","hs",NA,"Plus de 5000",NA,NA,NA,NA,NA,"2015-09-02 15:06:57","","True","True"
