"","Quest","course","id","course_specific_id","gender","year_of_birth","level_of_education","Objectif_Atteint","Compet_Acquises","Heures_Travail_Passees","Satis_Videos","Satis_Supports_Ecrits","Satis_Quizz","Satis_Devoirs","Satis_Exam_Final","Satis_Discussion","Satis_Anim","Recommand","Inscri_Proch_Sess","enrollment_time","country","certificate","unenroll"
"1","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","2015-09-14 08:35:03","","True","True"
"2","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui",NA,"2015-09-14 08:35:03","","True","True"
"3","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vide",NA,NA,"2015-09-14 08:35:03","","True","True"
"4","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"2015-09-14 08:35:03","","True","True"
"5","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"2015-09-14 08:35:03","","True","True"
"6","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"2015-09-14 08:35:03","","True","True"
"7","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"2015-09-14 08:35:03","","True","True"
"8","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"2015-09-14 08:35:03","","True","True"
"9","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"2015-09-14 08:35:03","","True","True"
"10","fin","MinesTelecom/04010/session01","61df981429e08590871128cab40955655ca29bf63f7a70910cc25873e54b4db3","456fc76ede25335d0bc71d3c497e370a","m","1952","hs",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-09-14 08:35:03","","True","True"
