"","Quest","course","id","course_specific_id","gender","year_of_birth","level_of_education","Objectif_Atteint","Compet_Acquises","Heures_Travail_Passees","Satis_Videos","Satis_Supports_Ecrits","Satis_Quizz","Satis_TD","Satis_TP","Satis_Exam","Satis_Temoignages_Pros","Satis_Forums","Satis_Ex_s0","Satis_Rythme","Recommand","Inscri_Proch_Sess","enrollment_time","country","certificate","unenroll"
"1","fin","MinesTelecom/04003S04/session04","3b45a62b777d684acc379d4a011d045cc9c3a827dd98c12a33bf6818283984ec","a01bbf9ac7ed7a386600337400261cd4","m","1970","jhs","Non","Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.","2h a 4h","4","5","4","4","3","3","4","4","4","3","Oui","Oui","2015-06-28 18:33:28","","True","True"
"2","fin","MinesTelecom/04003S04/session04","d81eed3f3e37dc6c010f85372ce48948af7804f379dffbe89745693e1380dfb2","e6e0084808432c81ef70a300c27e84ab","f","1965","other","Oui","Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.","5h a 8h","5","5","5","5","5","5","5","5","5","5","Oui","Non","2015-08-03 16:02:02","Germany","True","True"
"3","fin","MinesTelecom/04003S04/session04","2db51122eb040ee1f3a15de7775484f2c0c28aa870ccb447fa800d6d018d545e","71f41a17f4d3896d4532309d4ae053f0","m","1978","hs","Partiellement","Connaitre l'internet IP, TCP et UDP et leurs propretes","Moins d'1h","4","4","4","4","5","4","4","4","3","4","Oui","Oui","2015-09-14 19:07:50","","True","True"
"4","fin","MinesTelecom/04003S04/session04","31bfe2e16dc46ef1a3bf4ade10d7a7fb94d7d782d5a1a219e6784c81a0808834","9700f03006a2e62ae7a91c5838604af3","m","1983","jhs","Partiellement","Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.","Vide","4","3","4","3","5","3","5","4","4","4","Oui","Non","2015-07-02 09:36:53","","True","True"
"5","fin","MinesTelecom/04003S04/session04","bdce254a3fdebc2f60ce97c6223c03463ac2600319711f8fe7f61219dea7170a","0c8d0d83df13c810e741e78a0f07d844","m","1979","m","Oui","Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.","2h a 4h","4","4","4","4","4","4","4","4","4","4","Oui","Oui","2015-11-25 09:51:39","","True","True"
"6","fin","MinesTelecom/04003S04/session04","a6d4adead490b9e71053bdd436d1e40237625289ae6fe3071cd3054a9ecba0d6","a096f9928b56ad4c1d552a8db135df57","f","1978","jhs","Partiellement","Connaitre l'internet IP, TCP et UDP et leurs propretes","2h a 4h","5","5","5","5","5","5","4","5","5","5","Oui","Oui","2015-08-24 15:51:57","France","True","True"
"7","fin","MinesTelecom/04003S04/session04","303c710eb20ec8d66b79baf9ee9aca0fff476ed625f290125dc24648256094db","23e3cd2d0e6bbcda5220c0ba08cf36d0","m","1968","m","Oui","Connaitre l'internet IP, TCP et UDP et leurs propretes","2h a 4h","4","3","5","5","5","4","3","2","4","4","Oui","Non","2015-10-05 20:57:55","","True","True"
"8","fin","MinesTelecom/04003S04/session04","271e27de64a7e307ba2158b9220ba7effe2f8c093930e05e308626f74736a88e","663263e556ca7cb38d7e9aab2f15d44c","m","1961","b","Oui","Connaitre l'internet IP, TCP et UDP et leurs propretes","2h a 4h","5","4","5","5","5","5","5","3","1","3","Oui","Non","2015-08-11 04:46:51","France","True","True"
"9","fin","MinesTelecom/04003S04/session04","41d2cf39172fec62477214d7ef5a5cb4227849324101266a310a30a77da3f816","f06bb05f11e31607ef45d32a4580cf66","m","1964","b","Oui","Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.","Plus de 8h","4","4","5","5","4","3","5","4","3","4","Oui","Oui","2015-09-08 16:23:28","","True","True"
"10","fin","MinesTelecom/04003S04/session04","101aa41bf0f99c42f33edf8298a586d7c04ff97f1cc7ee57ff23aa81840fe7d8","a1b5c0f964857dd60d39cd650c0c1d7b","m","1967","m","Oui","Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau","2h a 4h","5","4","4","4","4","4","3","4","1","4","Oui","Non","2015-09-11 16:21:38","","True","True"
"11","fin","MinesTelecom/04003S04/session04","ee53a709f4e8984b263247f420011a65d536f3be8d52f494e74ffe9ed5c8e507","8cd5c5184d625f911473640def2b9b72","m","1976","m","Oui","Connaitre l'internet IP, TCP et UDP et leurs propretes","2h a 4h","5","4","4","3","5","5","4","4","1","4","Oui","Oui","2015-09-11 06:43:46","","True","True"
"12","fin","MinesTelecom/04003S04/session04","30381b8381ddaf913124b7c30bdbe87aab63fe74520f713b55e59d999b21d953","6dac8ab579c24356f5a4eb4d287610a2","m","1956","m","Oui","Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.","2h a 4h","4","4","4","3","2","3","4","3","3","4","Oui","Oui","2015-11-18 14:59:55","","True","True"
"13","fin","MinesTelecom/04003S04/session04","82d00828f8a756ec57e0738115993bc97569ca24df87390006d0f4df87e3ffde","1043961481ab4f6dbaf8b2f3b969f452","m","1966","p","Oui","Connaitre l'internet IP, TCP et UDP et leurs propretes","2h a 4h","4","4","3","4","4","4","5","4","4","3","Oui","Oui","2015-10-07 13:59:48","France","True","True"
