"","Quest","course","id","course_specific_id","gender","year_of_birth","level_of_education","Objectif_Atteint","Compet_Acquises","Heures_Travail_Passees","Satis_Videos","Satis_Supports_Ecrits","Satis_Quizz","Satis_Discussion","Satis_Exos","Satis_LAB","Satis_Exam_Final","enrollment_time","country","certificate","unenroll"
"1","fin","MinesTelecom/04011/session01","addb89568594b7d2af892fd69e68084820e6c8bfb3a932eef47eae6893492781","72aba126004dbc12f1394ae98263415f","m","1971","b","Oui","Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins","Plus de 8h","4","4","4","4","5","4","4","2015-09-02 16:45:48","","True","True"
"2","fin","MinesTelecom/04011/session01","86930ac5f310fb1e4491afd57689bb33fd92125d24e7467673580067127c0676","006edf9a544fb6f96ee3c3bae610f910","None","None","None","Oui","Connaitre les principes de fonctionnement du routage dans les reseaux","5h a 8h","5","5","5","5","3","5","4","2015-09-16 04:51:14","","True","True"
"3","fin","MinesTelecom/04011/session01","f7bc61d58e227256cef84d76b1420657ccbca2df421e322431a074b75419f691","bedf05f315895736d7b70429f2219857","m","1987","b","Oui","Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins","2h a 4h","4","4","4","4","5","5","4","2015-11-30 14:45:04","","True","True"
"4","fin","MinesTelecom/04011/session01","1880ea77f6e4abedf89217e1d76b72ad12dba2296dd50f493cc452158b69112c","166e40652c5abeb2b71e7a36ce121303","m","1976","m","Oui","Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins","2h a 4h","4","4","4","4","4","Vide","Vide","2015-09-14 16:21:45","Belgium","True","True"
"5","fin","MinesTelecom/04011/session01","c612ac0a4abd87584f9c78e0127bf21481ff84caa07f891f0ec59f55de58b4aa","ffecfbdf61a64362a5adcaddb4f79057","m","1971","b","Oui","Identifier les enjeux de la qualite de service dans l'Internet","5h a 8h","4","4","3","4","4","4","3","2015-10-30 12:05:15","Madagascar","True","True"
"6","fin","MinesTelecom/04011/session01","5b7b4d4c6e1890fc628c7a81afbbc19b001241273b6edcfb8b043ed79a98edc0","ea9c1f53916ec3bf89884050bad62f16","m","1958","jhs","Oui","Connaitre les principes de fonctionnement du routage dans les reseaux","2h a 4h","4","4","4","4","4","4","4","2015-09-03 06:46:12","","True","True"
"7","fin","MinesTelecom/04011/session01","1053d6a888ab137e5b89c1e1b5a48cfc412bd479db0fa56a4f65c0296147b2f2","350c6740f48eb5770ab6739d1bbcf8f6","m","1986","m","Non","Connaitre les principes de fonctionnement du routage dans les reseaux","2h a 4h","4","4","4","3","4","3","4","2015-11-06 07:46:41","Chad","True","False"
"8","fin","MinesTelecom/04011/session01","e1bf238f92b0313ef7d16e363a88f35189003ba38d370b9ed064455bb78f3957","33dcd4534034b2a18658804f08afc0fd","m","1964","hs","Oui","Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins","Plus de 8h","4","4","4","4","4","4","3","2015-11-07 20:28:03","France","True","True"
"9","fin","MinesTelecom/04011/session01","474bbe2fdc16f555a458119b583f636deb675fa1c65b0aa6c351ddf6e6875e1d","2e71c1a56a42c875a301cd0078b6f4f7","m","1986","m","Oui","Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins","5h a 8h","5","4","5","5","5","4","4","2015-09-04 07:25:30","","True","True"
"10","fin","MinesTelecom/04011/session01","7aa2fcc6b42523866dc735b2a6db5b454205cc49f819c43e6b83957eb945b6fb","0b3d1c4efd2d54b7a86de48ea62f6999","m","1983","m","Oui","Identifier les enjeux de la qualite de service dans l'Internet","Plus de 8h","5","5","5","5","5","5","4","2015-10-16 15:14:56","","True","True"
"11","fin","MinesTelecom/04011/session01","325416f3c1a9840b2dd824c5c062b122c4d411614fc07e68627d434c79fdaf51","008cfa1ecf787162bb4756c76ac03516","f","1976","m","Oui","Connaitre les principes de fonctionnement du routage dans les reseaux","5h a 8h","4","5","4","4","5","4","4","2015-09-23 05:19:37","","True","True"
"12","fin","MinesTelecom/04011/session01","4f924a5ad95a777091aded65659a1c59dcf20efc2a2cace71ee0778057c68d05","159316d1d2225da7f86513802ee3b4e1","m","1963","m","Oui","Identifier les enjeux de la qualite de service dans l'Internet","5h a 8h","4","4","4","5","5","4","4","2015-09-10 15:47:26","","True","True"
"13","fin","MinesTelecom/04011/session01","85a57552a773d8da0a391f28ce828ec8c26485cd62d9b3f09a266579c3849254","0734b6b1c86c4a8e90ec34108bb81b3a","m","1963","m","Oui","Identifier les enjeux de la qualite de service dans l'Internet","Plus de 8h","5","4","4","4","5","5","4","2015-11-06 07:21:41","","True","True"
"14","fin","MinesTelecom/04011/session01","eb4cf05325c8602a300be0031dcbc91dea85b0fb24eab794ad84c58f0ae78a53","d78866333eb13d92ec7cb6934ac5dd7f","m","1947","m","Oui","Connaitre les principes de fonctionnement du routage dans les reseaux","5h a 8h","4","4","4","4","4","4","2","2015-09-28 16:47:12","France","True","True"
"15","fin","MinesTelecom/04011/session01","697aff4a304d816c12c5973a39b5fc99ca0c3e73accca3e31b766296a391e327","51bda77c4ee0aacd9300c027f1f97a77","m","1984","b","Oui","Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins","2h a 4h","4","4","3","4","5","3","2","2015-11-05 22:00:52","France","True","True"
