"","country","lon","lat"
"1","",NA,NA
"2","Afghanistan",67.709953,33.93911
"3","Albania",20.168331,41.153332
"4","Algeria",1.659626,28.033886
"5","Andorra",1.521801,42.506285
"6","Angola",17.873887,-11.202692
"7","Antigua and Barbuda",-61.796428,17.060816
"8","Argentina",-63.616672,-38.416097
"9","Armenia",45.038189,40.069099
"10","Aruba",-69.968338,12.52111
"11","Australia",133.775136,-25.274398
"12","Austria",14.550072,47.516231
"13","Azerbaijan",47.576927,40.143105
"14","Bahamas",-77.39628,25.03428
"15","Bahrain",50.5577,26.0667
"16","Barbados",-59.543198,13.193887
"17","Belarus",27.953389,53.709807
"18","Belgium",4.469936,50.503887
"19","Benin",2.315834,9.30769
"20","Bolivia",-63.588653,-16.290154
"21","Bosnia and Herzegovina",17.679076,43.915886
"22","Botswana",24.684866,-22.328474
"23","Brazil",-51.92528,-14.235004
"24","Bulgaria",25.48583,42.733883
"25","Burkina Faso",-1.561593,12.238333
"26","Burundi",29.918886,-3.373056
"27","Côte d'Ivoire",-5.54708,7.539989
"28","Cabo Verde",-23.6051722,15.120142
"29","Cambodia",104.990963,12.565679
"30","Cameroon",12.354722,7.369722
"31","Canada",-106.346771,56.130366
"32","Central African Republic",20.939444,6.611111
"33","Chad",18.732207,15.454166
"34","Chile",-71.542969,-35.675147
"35","China",104.195397,35.86166
"36","Christmas Island",105.690449,-10.447525
"37","Cocos (Keeling) Islands",96.8417331,-12.1707796
"38","Colombia",-74.297333,4.570868
"39","Comoros",43.3333,-11.6455
"40","Congo",15.827659,-0.228021
"41","Congo (the Democratic Republic of the)",NA,NA
"42","Costa Rica",-83.753428,9.748917
"43","country",-80.6328094,-5.1884491
"44","Croatia",15.2,45.1
"45","Cuba",-77.781167,21.521757
"46","Czech Republic",15.472962,49.817492
"47","Denmark",9.501785,56.26392
"48","Djibouti",42.590275,11.825138
"49","Dominican Republic",-70.162651,18.735693
"50","Ecuador",-78.183406,-1.831239
"51","Egypt",30.802498,26.820553
"52","El Salvador",-88.89653,13.794185
"53","Equatorial Guinea",10.267895,1.650801
"54","Eritrea",39.782334,15.179384
"55","Estonia",25.013607,58.595272
"56","Ethiopia",40.489673,9.145
"57","Falkland Islands  [Malvinas]",-59.523613,-51.796253
"58","Fiji",178.065032,-17.713371
"59","Finland",25.748151,61.92411
"60","France",2.213749,46.227638
"61","French Guiana",-53.125782,3.933889
"62","French Polynesia",-149.406843,-17.679742
"63","Gabon",11.609444,-0.803689
"64","Georgia",-82.9000751,32.1656221
"65","Germany",10.451526,51.165691
"66","Ghana",-1.023194,7.946527
"67","Gibraltar",-5.353585,36.140751
"68","Greece",21.824312,39.074208
"69","Greenland",-42.604303,71.706936
"70","Guadeloupe",-61.551,16.265
"71","Guam",144.793731,13.444304
"72","Guinea",-9.696645,9.945587
"73","Guinea-Bissau",-15.180413,11.803749
"74","Guyana",-58.93018,4.860416
"75","Haiti",-72.285215,18.971187
"76","Honduras",-86.241905,15.199999
"77","Hong Kong",114.109497,22.396428
"78","Hungary",19.503304,47.162494
"79","Iceland",-19.020835,64.963051
"80","India",78.96288,20.593684
"81","Indonesia",113.921327,-0.789275
"82","Iran",53.688046,32.427908
