id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3,q4,q5,q6,q7
6d0803a13d3f230a72ceae0d0a8045460cb220530b4bc8d30111aa11a09afa37,8347e73ab754a8670001f42759758c7b,m,1996,jhs,choice_7,choice_0,choice_9,NA,choice_1,choice_0,choice_1
9a2429bb73933a662564f1e6e3cb4e344b5a002853936c50b5107659d538e99d,4a9ca8f2ebf46c78dcb303a32bab7038,m,1966,jhs,choice_8,NA,choice_4,choice_4,choice_1,choice_0,choice_2
29d1838fc562cfa2a93dd9b4df791c59524edec26016e3d7e4c7554a97145027,80e810cc9b1b1c4acd8569c30ec26e8c,m,1971,hs,choice_2,choice_5,choice_6,choice_4,choice_0,choice_1,choice_1
eb4cf05325c8602a300be0031dcbc91dea85b0fb24eab794ad84c58f0ae78a53,682713a2629afbc327cabc5c41771d64,m,1947,m,choice_6,NA,choice_4,choice_4,choice_0,choice_1,choice_2
364c0a13ab9b1b2dc3c292987562002d604e89212d8828a465bcdf81225db156,8a56462a2a7c0d95d5b8f7443f16e41c,m,1963,m,choice_2,choice_5,choice_6,choice_4,choice_1,choice_0,choice_2
ea758c83958903a1074d20e980c9ecb7971fb74fed81a212d74379160b39bced,9a8327a468a37659d5ff9e4287c57ab3,m,1973,hs,choice_4,choice_3,choice_6,choice_4,choice_0,choice_1,choice_3
db93a95551610bbc1c054f022a1a6cb824632be90a8b1d16152ae571fc6dfa9e,2ab531e95538759c884ee62f17709b15,m,1992,b,choice_7,choice_0,choice_6,choice_4,choice_1,choice_1,choice_1
83c7215d3b4c0d36da26548e066d074d7d267dab546c68c11d97ee4e6c939c7c,dd77f626da10d8607451cb7c16cfdac0,m,1985,m,choice_0,choice_1,choice_6,choice_4,choice_0,choice_0,choice_1
0f0a29412ca0282c9eb16a671101abca142fee7dc8e59a09a1cf87d606abbef6,b4b6778d7e4f60335dfdf3045bb0aa70,m,1989,jhs,choice_7,choice_5,choice_9,choice_4,choice_1,choice_0,choice_1
318cd3f2a414d48895b4c608da063f31f56a7dc3d7b79483de66a587478797d6,f8852b94c7461457011d26b9b3ead3e6,m,None,m,choice_2,choice_4,choice_6,choice_4,choice_0,choice_1,choice_2
9f82700827f2b044dcef9262704eb9cb3063accbc46625d0c81791ea20ecdfef,6998621cbd4324cff8bddc2a02f69c94,f,1959,m,choice_2,choice_4,choice_10,choice_4,choice_3,choice_0,choice_1
29720ec073c0ca55bac16be92221f4fba23d54b414c75280b24e60c4cc5d1a53,c6f52c778bc52f1739aa7592faa1b228,m,1986,m,choice_8,NA,choice_6,choice_4,choice_1,choice_1,choice_2
35e229395bb940bc880795f420544d07d4c722300763583b2d1f4b0a1c617c19,6c553866eb1eb73f980b906b6eebe9bf,m,1970,m,choice_1,choice_2,choice_9,choice_5,choice_1,choice_1,choice_2
c7eee80f9a8fd3f9df0aa7b38c527ab1969269069f9035f6598745553b16b06b,7da91406991284764ab5b2f76b49b881,m,1986,m,choice_8,NA,choice_6,choice_4,choice_1,choice_1,choice_4
7aa2fcc6b42523866dc735b2a6db5b454205cc49f819c43e6b83957eb945b6fb,f9789df1196846af1c5b1cccf40869b0,m,1983,m,choice_2,choice_1,choice_6,choice_4,choice_1,choice_1,choice_2
f1c108e051b95f46cdf8f6aa47c534e440c96338ff6107ddcb89a6bd502f82f5,a3915f5b9aa8e6a4d1674bb930376b13,m,1975,m,choice_2,choice_4,choice_6,choice_4,choice_1,choice_1,choice_2
e860e1dc0acebe1e2025712bcf26ff8db8bc4a277e248d40ade2214932c75522,77078a00daf7756092ad8b1b81dd46d5,m,1963,m,choice_2,choice_5,choice_6,choice_4,choice_0,choice_0,choice_1
d2abc4499182b6279c06bbe2ebc46432c4fb8d8f8a21977970ec2fc192644e25,ae59fdf379f939c62ac356c1dcaa64c6,m,1968,b,choice_8,NA,choice_6,choice_3,choice_1,choice_0,choice_3
50e806d23786ec56066b74a2a81e29529800d3e20073252cd6af984c71cc834c,f5b7bb51cee41b25070acb6e4c6ee0dd,m,1984,m,choice_2,choice_5,choice_10,choice_3,choice_0,choice_2,choice_0
27a3caf8bf6b79688c3eec51d4ddb62f7a4d22583f3faa8c6e6a21728591616b,5cd5b0bc4f711f58591cd4f34da9d900,m,1992,hs,choice_7,NA,NA,choice_1,choice_1,choice_0,choice_2
e63de7688b9d217b8f214c78a32b8e16fcec0b5b9191dacbdf076ad4671f3007,de337a1cdb52de47c4eec3e46032a171,m,1987,b,choice_1,choice_5,choice_9,choice_4,choice_0,choice_2,choice_2
ccb08b1a08933d950ee06ed428c27b85821a2325cfc5253fe9a4145a6910a4b3,4f52dad5c0e53fd59b59eb4630b6cec4,f,1958,m,choice_2,choice_5,choice_6,choice_4,choice_0,choice_3,choice_2
f91761874353c75a72ffaba4d14ab6a8f197298ff945de4390bb7c989b4156cd,caa46e8ebfb052f5b926fff53f3d6fc7,m,1986,b,choice_2,choice_2,choice_8,choice_3,choice_1,choice_3,choice_3
e15ae46a28ae2b57bd434df4709a36cc39a74a9719f282f0364ba7fc261e199a,966394b308a9381f558c482850b24f13,m,1965,m,choice_2,choice_4,choice_6,choice_3,choice_1,choice_1,choice_2
4a18aa5e475ebf909fd24fe4368fc168e7acf5b99cf6a645bfe84a4d1b82ab03,1261fcae011240b94da4a21aa35a0b78,m,1970,jhs,choice_4,choice_4,choice_9,choice_3,choice_0,choice_0,choice_1
6b20e94d7fac4474ed134643262b85eb5c30628714230f0fbad02921895ec6c5,7380744974cf1dda845e7f7c80121873,m,1965,jhs,choice_2,choice_5,choice_6,choice_4,choice_0,choice_0,choice_2
acbff52bc5eda922f810e948ee6b138ce46a2bab1af77f3dd6bf4427cfa13def,7c11645be641a80eb289d672d1a7fb66,m,1973,p,choice_2,choice_3,choice_6,choice_4,choice_1,choice_1,choice_2
b8777bc72c967d0c7d6697fe414ee16af4bae1877944e33b153b3439bdeacd2a,211ca1a55c6afd60f5ee7eb808b1accc,m,1982,b,choice_3,choice_3,choice_8,choice_4,choice_0,choice_2,choice_1
031eec67050583e521f5d00f6a41ad39021f49363e2549082d5823eb4ebf70e8,5dd826b7baa9f4b897ddca26c1dd8679,f,1976,m,choice_2,choice_2,choice_6,choice_0,choice_1,choice_1,choice_0
71e6df3d4f5b72cc45353104b276bc4d7bf4652bf7066c3316dac799e5f2dd75,3e21221ebc0cfeb3611a317b83863d56,m,1971,other,choice_4,choice_5,choice_10,choice_4,choice_1,choice_0,choice_3
137e2e55161dde3daad1dde91e8e962ac33f8f52cc68b81e05ae350ff8c5526e,94bb339ab4369ed444c3e3d431e6d2ca,f,1989,m,choice_7,choice_4,NA,choice_4,choice_0,choice_1,choice_1
ac1714bd6df1dd09aa4b505e9b2965a3eed0ea65b9feedf7a942df680e179869,e4fe5642d3ff2606eb3b715386b6e87a,m,1980,p,choice_8,choice_0,choice_6,choice_1,choice_1,choice_1,choice_1
26112959134542b6a152e930d018927ca328a2f5f59477ce78551add79ab34fa,c5909a4a8c58da29f77a6176f93e8f00,m,1957,m,choice_6,choice_5,choice_2,choice_4,choice_0,choice_0,choice_1
35f0a2316597576292acbcc692e765daf0657a0f3cdb851732b3d48e63be4792,434e6253405bd7d70f9cb3f6543bab79,m,1996,jhs,choice_7,choice_0,choice_9,choice_4,choice_0,choice_0,choice_1
328b14fb51ca64c7f7e9c1c0ca9baa8c5d3038d764cb3a73c1826828325558cc,a446c355207bdbfea65d7a3e66d37531,m,1976,m,choice_4,choice_3,choice_10,choice_3,choice_0,choice_0,choice_1
d3b41373f0e1410d4ec5a0edc134d6290d68ce235b037ff5de5286918feb5ad3,d15f92b8275ac23c20158828dba29941,f,1978,m,choice_2,choice_4,choice_10,choice_4,choice_1,choice_1,choice_1
bfd5996703a9b8a1835988422d51b8ae15aaf4d9c370c3c51986a8d3849e08d6,ab81b4c497d189ebc9222c6b3124b35f,f,1990,m,choice_7,NA,choice_6,choice_0,choice_0,choice_0,choice_2
c46353be5d53e15fb1bddd380a4279564b3be51d8f0480b41c503d765288759b,dca4cbd227f29ddee0f4e878e2771062,m,1975,p,choice_2,choice_4,choice_6,choice_4,choice_1,choice_0,choice_2
8fb663a6938ec7ab0fcfe843f56808867090615c587e38209ac504fbc02188c4,1e46ad14af521a48c45281f0f6c5df79,m,1989,b,choice_8,choice_4,choice_10,choice_4,choice_1,choice_1,choice_1
12fda034c901106bf4862ceff5f6ffcb0b56059141fcaf18d2cc63a2a38374c7,f178b07b2e849d7092aaa0beac441fd8,m,1986,m,choice_7,choice_0,choice_9,choice_4,choice_0,choice_3,choice_2
e15298fea47f34df1bb5d4cbfb87eaddbd7271fe2e8abd4fe1828029ee4c8207,a0ebfe9d9c3f2e3061e0f35227846161,m,1968,m,choice_7,choice_1,choice_6,choice_4,choice_1,choice_0,choice_2
507ced40eca0b50175667490aed1f5c29e540c43ddba5795ad595f61874c80f5,c64c167ae094a576fa9e141a7df6cf03,m,1980,p,choice_1,choice_2,choice_9,choice_4,choice_1,choice_2,choice_2
1c2a311717a1ceafa1798e314d666444dbdb4218f134bc80037c4e93ea0d8c36,944888f0be34ffa2614363a5e6341735,m,1962,m,choice_2,choice_5,choice_6,choice_4,choice_0,choice_2,choice_1
60606fb83b24786c0478f29694e255aefa330b87d4e97d35b80e5f7b61285f1d,fcb934a8d902ebf6801f7d9fadd6f04f,m,1990,m,choice_8,choice_0,choice_10,choice_4,choice_1,choice_0,choice_2
631e12a141914262b32693fac98bcc1a8eeb4237fc3a5cac492315d8ebad7223,0746169ae0852b2c6f01457ea4ad7a12,m,1982,m,choice_1,choice_2,choice_9,choice_4,choice_0,choice_1,choice_2
fdea40f1d3dab080cfa0b897b157159fd6c3ea78965b3d864f6ccad65b55c435,f97a63f87067ae4b6743c8724fb17ba8,m,1986,m,choice_0,choice_3,choice_10,choice_3,choice_1,choice_0,choice_3
d635ade7b61ee3779015077515a64f76828fd86d1f91f18cef678fadb398cfd3,d969c996c7fa1ab204833b0b0139a6df,m,1978,m,choice_1,choice_4,choice_9,choice_4,choice_0,choice_2,choice_1
6615a626e64b91abb8761a50771faa77c22261445a5b2c83070eaaa6734eb444,0896af871b499f9f0d874236871cd1a9,m,1989,m,choice_3,choice_5,choice_6,choice_1,choice_0,choice_0,choice_2
e45cf60c36620b1b9604b4a841e6087c1990bf5615ce512501e0370c1e42bd0f,8dd35dbf4a6076a330320636559fe2a2,m,1978,hs,choice_2,choice_2,choice_6,choice_4,choice_1,choice_1,choice_2
ab12478ee7f5e0f3fff01e03a2163a3de2a4c650230b6eca15259128bb45ab97,609bf80b77850aeabe555575c569b3e7,m,1984,m,choice_1,choice_3,choice_9,choice_1,choice_1,choice_0,choice_2
2a60ebc9b2e198b8b8de47ffc58ecfb6f9e231bb8b44a2f76ab6a68d07351bc2,4f9ceea3d2be04f45d3e4587aeca61c2,m,1968,m,choice_4,choice_5,choice_10,choice_4,choice_1,choice_2,choice_3
4b6fed3d813174d05715ae21e37fa9e4e225e7e1cf0e4a9c59d3168e0c769a04,c2fc2197d51109ddaec9071c6522d683,m,1963,m,choice_2,choice_5,choice_1,choice_4,choice_1,choice_0,choice_4
cb089f92028b64b11ff7cf46f011a50e956d2bc123b2a7fcd750838b3bc58781,4da16a7f0c025374d66758f96a61366f,m,1966,m,choice_2,choice_1,choice_10,choice_4,choice_1,choice_2,choice_2
b43de9933a2b51e34bd2ae2c72853c58f3a360da36f51eca1794ac8b25634b80,18e8b8a2f2d7861c1531b75cf786cdab,m,1978,m,choice_3,choice_0,choice_9,choice_4,choice_1,choice_1,choice_1
f4385f0b38cd3a5af7cb24c5b406f6525fc212afc0738fbc7269c19dc5e540cc,81f8ab64184549b8bae9f3b1b5cca848,f,1993,b,choice_7,NA,NA,choice_0,choice_1,choice_0,choice_3
9e8b3f641c7c028245afec99dfcabca6d7dd4d75faf03745faf9c281b5241147,29a6b204f3b67cfe3aa24c33179f7ca2,m,1967,m,choice_4,choice_5,choice_5,choice_1,choice_0,choice_2,choice_2
a6558a2fe67ebcbd8ca50b2484968df6984cdfb210897406858f7c001338e8ad,efc648597e48cd7e508363176935877d,m,1981,m,choice_2,choice_4,choice_10,choice_1,choice_1,choice_1,choice_1
6cbe5367589d5ce54b69689f9416bf57799a15bd1f7ccae2b924ecc23f22d95a,ab4bc55dc5c980fbeb8b567b6c6cc410,m,1973,m,choice_2,choice_1,choice_6,choice_4,choice_0,choice_1,choice_2
d693136a5ac9dbcfce3593312b9d41c076dc0ea06993e5d259d74007de6fe8a8,69fb8d9da005201a61c2e760e14e9d70,m,1953,hs,choice_6,NA,NA,choice_4,choice_0,choice_2,choice_1
570099734ca2a472497a7e0eb35e77fae9d15263c4a2e0f13f0600ad2e6dad67,8e9aef235c8c2859ab0c3c73a53fea05,m,1992,b,choice_7,NA,choice_10,choice_4,choice_0,choice_0,choice_1
b9a408332972501d61a70afa49024922fd83783d7ceb61ab9894cdd39c6af677,4819bf4c379d5be5a680cb888ce8ec44,m,None,b,choice_4,choice_3,choice_7,choice_4,choice_1,choice_0,choice_1
3dbc2c1f1acf5964ad7d528bfbbc04b23ef66dd6c0bf01f5d04044316c98b0e0,0a3e4d6910f925e32282b3077236641f,m,1988,b,choice_7,choice_0,choice_9,choice_4,choice_0,choice_1,choice_1
8af7a2703c9c5ede7096dc8aef3d816edb686944ad74cdb60e503cafbb4b7b36,7ef3091c021678704923f1eecf7b43b3,f,1990,m,choice_8,choice_0,choice_6,choice_4,choice_1,choice_0,choice_2
5a7188e840f00e50be8bf3dd35bfbcdd6599aa52ef1fc659a0a279b79f5bdb56,073de8450bbb30b459dcd4664898be4d,f,1972,m,choice_2,choice_3,choice_6,choice_4,choice_1,choice_1,choice_2
f44f163d14476d28bbd04d0fc5767bdab3a363850d421b207c3315d2ad803b6e,75957f59f60b81521982a90ecdc1439e,o,1964,m,choice_0,choice_1,choice_6,choice_4,choice_1,choice_0,choice_1
785b31a6470f73cf9786173cf2cb1cbffaf3c0c451befc50a7f90b1f576adfb8,c30f75f418ba36a5cd27589a39a7811c,m,1989,m,choice_4,choice_4,choice_6,choice_4,choice_1,choice_2,choice_2
79fb6810e30062217a6c505447ebf28af95b80ca2109cc8e87b5d9fd0967aa7e,e1987743e2d00127a79d42c9165a70a7,m,1993,jhs,choice_7,choice_0,choice_10,choice_5,choice_1,choice_1,choice_3
8e777aad94f60baf2316ca9096918701cc29281f9694dc46a018be9dec8be448,7693724208d33af14d378dcc51838fb4,m,1983,m,choice_7,choice_0,choice_10,choice_4,choice_1,choice_1,choice_2
