id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3
f73a01971338c655814f1d03c906a2f4870ffee86373dc7c2f01af9ab3c6e8c4,9e076da5979f7e684d86038a9f887631,m,1967,m,[u'choice_7'],choice_1,[u'choice_0']
05afd53f77dd8ac5053e7eed37b14c0455966f6d15fbe0d4ff5862fdf96b3cf4,957f3c7d4bf7eb68220c4364f1ae58fb,m,1991,m,[u'choice_8'],choice_1,[u'choice_0']
ed049c4c732a1222bdbd8722e4a394f46db2ea76a3ce95e7052bc7a87271cd83,0bb87632429cfb33cf05b94e4dc78fcc,m,1966,p,[u'choice_0'],choice_0,[u'choice_0']
b2b5d046333b778c68a1a7ab40607461777ab040446ca41be138dca659d50907,8867dd5c9e36d1f0366d71698702ca16,f,1990,m,[u'choice_1'],choice_1,[u'choice_0']
f63c0f4de2718a98a1792f7b5f7c4f3158d0e77beeed49b95e46dfbad4a9f2d3,0e583ee763b8853ebadee69f511530c5,m,1994,b,[u'choice_2'],choice_1,[u'choice_0']
63498d787066d6c418057ec42ea4e1edfade30846f6a1c4e348cd8c84608f47b,613b31a6906be289eda396d013b5e7a0,m,1988,b,[u'choice_0'],choice_1,[u'choice_0']
4850fb8464b0a0a3a04e8cdf21f625ec51462639f1dbad6ae2cbf00ce3f5e0c3,3fe310496b4d090794f3d4e33ff031d4,,None,,[u'choice_4'],choice_1,[u'choice_0']
d299c2ba35509e4d69f6a847b00b8b55c3ce53cebbba61fd3686da51facfa137,e85b15c80ac3bc272d80f56611306015,m,2015,m,[u'choice_1'],choice_1,[u'choice_0']
bd37d4cb0ab680c9b5f6896dbfa36fd678573e8de71be93b557192e1e640f429,c0aa8c6dc06108b4ae56a7a469749487,m,1969,hs,[u'choice_0'],choice_1,[u'choice_0']
3510c47a77b07943f2cbf974df6bcaa4e9c14b1862a2a9bdd7bd0d0818217b6d,59819399ed4be027002862493ffd1a86,f,1992,m,[u'choice_0'],choice_1,[u'choice_5']
d6f17419d5277596e076581342643195ce060b7f45398b1726bfb7b30c6fa073,0b4c17563ef52f9ba6c64df80dff4e39,m,1947,b,[u'choice_0'],choice_1,[u'choice_0']
86dfd0c8d37d431fb0e10156d3ff1598f8d183d048847d887e612a356d54f1eb,cfaa319c7fe53891893b4f0246bf34c0,f,1979,m,[u'choice_0'],choice_1,[u'choice_0']
cd4472214ceccb391cd63b1faa7edd181e7d6f8fddebad59fb4d280a1bbb4c64,5d57f33533ecc71d4c3de0d101c65f61,m,1992,m,"[u'choice_0', u'choice_1']",choice_1,[u'choice_0']
411f9d9b38aab69dd0939084f83520bc3134d5f581f4bc3c9f7d5fe2d52f0bd1,99280c7cdcd162fe71e8afee4cb56f46,m,1994,m,[u'choice_0'],choice_0,[u'choice_0']
47bfe316abef2f5abedaf90f81a98747b80c0e30df353199b0d93945e6d7081f,71c8e32b0d2d71f56b21187ba551ea2a,,None,m,[u'choice_0'],choice_1,[u'choice_0']
138367ec8771a1254946fb29d56b49caf593d4ad8efe44395ad31eaf1e30f820,876b4044a1927d48f49d03efcf6de5de,m,1973,b,[u'choice_0'],choice_1,[u'choice_0']
dfab7a3a497902570f35c0bf1a99d050d6b855f5914f90e03fee772c97ea89b9,aaa3b2b9d82dfca7c273ca0843a07cdf,m,1991,m,[u'choice_4'],NA,[u'choice_0']
fce93234676cb25783edb1efa302ae23eba06ad5a077c06b00a1477266cc4e65,15ab2fb0f81913f4a823f36df482b61b,f,1990,hs,[u'choice_8'],choice_1,[u'choice_0']
52ce70e7dd9cf45933fa5b50bec841fa1addd2d5c7b04a6cf7540b6ee3068600,9ad748e71a362f24799a6c7d15c08789,m,1994,b,"[u'choice_0', u'choice_2']",choice_1,[u'choice_0']
7d55e62cddc6e158755d69524cf80922a8b7f8910fe71300142472fd6296d256,66b37447342fc97b887a2daea60afc26,m,1970,m,[u'choice_0'],choice_1,[u'choice_0']
ca31b889ae42b9e6391d3ad30b43231fbb83ff50fc4f59ba1fcaa8c4d73d7a98,6548b5700c1291c742aacfb6b109356b,m,1967,m,[u'choice_0'],choice_1,[u'choice_0']
8560b8dc9c26a9a9ff7c5c4d412ec8c99d7b5b4d5f39418145a9a974a69afa0c,5efd874b6c4f01750c28cb7f64f19f36,m,1974,m,[u'choice_0'],choice_1,[u'choice_0']
e51566c6d4195ad7fcdde8e3d1ed0e18ad177527f26c1602319d8e6e91087fe4,0b0e58a9ca4053c6ffd3191a19f4a354,m,1986,m,[u'choice_6'],choice_1,[u'choice_0']
62b411ac21f2d11353568fdd41d6d4361fbfbf3336b03d4669650098c2036eea,d0493f86d4a43e03b1376575debb121e,m,1966,m,[u'choice_6'],choice_1,[u'choice_0']
08d02fa442b579519e7ed99d20f2743742673200fdb46a0a378171f2e76e22c7,fc46c8a49b883cb245b2d882eb96420f,m,1988,hs,"[u'choice_0', u'choice_4', u'choice_8']",choice_1,[u'choice_0']
6e8f0b4489443a56250d03fe441c1496d022f44f81c6e0b6224f0edc5b1b5e6f,394a9777da15eb3285841870ea57c8fa,m,1992,m,"[u'choice_2', u'choice_4']",choice_1,[u'choice_0']
b119d8229d3c216c53681536837db23d736b2321a3341f3108a4bad3eede6318,153c71a82e8502d1328135a907d1c148,m,1985,m,[u'choice_6'],choice_1,[u'choice_0']
b7ee0d289b4671c4267ae228f5365032b272dbe09b73fb350fdc6d947d1343e3,ddfed3c9fde89c7ee00c2362e896015b,m,1989,m,[u'choice_0'],choice_1,[u'choice_0']
78471cb045cdcd7a6e61e5da408ae4abba01787d970b1a1f251b2bd98e39d2dd,21298e233aa3deeff38fe43d87d4fe19,m,1968,b,[u'choice_7'],choice_1,[u'choice_0']
c1067952b330ba3b7cfcb0b81d3a93073c53810e2408f1e8ff6ec819e7bf10f6,2817df16568c03468495b6758e05d67d,m,1975,m,[u'choice_1'],choice_1,[u'choice_0']
b33d2887258e96d80f4d2f6d1a83c67ac6e06941fc019ff8344eead217029ba4,6dc6b1d804fce462ef8585c91d6879fa,m,1958,hs,[u'choice_0'],NA,[u'choice_0']
5d3bd0d07aeb4818806e73be3a67668df95d14fbbad6961c24a0cde38fba9b85,e48bc46ea1f4b84c1eaa8a25fd17f7a2,m,1988,m,[u'choice_0'],choice_1,[u'choice_0']
1c8f495e29b06cf4462acb24586b9d7f206b98b5926b8b42c6586bdac8d82dd2,65292dfc24baf1c854471007785db141,m,1981,m,"[u'choice_0', u'choice_6']",choice_0,[u'choice_0']
d5739afe2a205b2bdc0826cf64a309d23aa91ba6c316512b2b70fe19dd798033,f225ef6fbec24bcc126257b6c801d61a,m,1976,jhs,[u'choice_0'],choice_1,[u'choice_0']
a422ba372887170c2ac33d7261761d2a4b4302d3432ffda52d9f21fa0bc2ba03,05febb0e676a29f0c4d947b7d346f67f,m,1987,m,[u'choice_0'],choice_1,[u'choice_0']
4a0f0de156da82c38844810736d185e784bf716d0aaa601535a3d56b6b4905a5,670f3b7175c34f2fa367680368554cf7,f,1986,b,[u'choice_0'],choice_1,[u'choice_0']
fa343f01f72002a5c4a03459bd8e230eec702c2adee03f3695d6ef21cd9f2775,51dd7791aebb4841e23f2c2f7b3af052,m,1963,hs,"[u'choice_0', u'choice_4']",choice_0,[u'choice_0']
cabe8dd840739302a2be34e3ced23bff9865c0ad4fc24595686f22bb06fa8fad,20abbbb6049a89ebdc37966f3cc9eb9e,m,1984,m,"[u'choice_0', u'choice_1']",choice_0,[u'choice_0']
c79c5e2a92f5902375ec88dfaf5534319d949df23bf1ac2ab02f5eba998b5e24,c59a60790e0440b56de5f04d8f204ea7,f,1979,b,[u'choice_6'],choice_1,[u'choice_0']
d07631b5c55a25eb7d50bb599ff14b391ed83a2f2a7fc5a2b1f8d8e67a270349,de092bc0d6f8a1f73db00b411e169740,f,1992,m,[u'choice_0'],choice_1,[u'choice_0']
26112959134542b6a152e930d018927ca328a2f5f59477ce78551add79ab34fa,4af83c456f2e90c0812a30be51c0a169,m,1957,m,[u'choice_0'],choice_1,[u'choice_0']
3e1378bcce2c0f933f4599a405b0670ba5c6610fc7e09b4a3c3a3289d9288cb2,08f04630cafff74a0b8f9bfc46b7d5d1,m,1966,b,[u'choice_0'],choice_1,[u'choice_0']
b48d1cd398e9b8cc13f10cb3655a2a2389420f45b6d0ae841b4254eb4b6efe83,ebaa1313fb3573da06349c1585b136a9,m,1979,jhs,[u'choice_6'],choice_0,[u'choice_0']
180946abc336dded445661f5d909f7ecbf6ded849c884915b830b9ed4361386f,c44cb359fe6fdc77d1713c81e30d5ff2,m,1976,hs,[u'choice_8'],choice_1,[u'choice_0']
96a2a27ff99acc4b675e71ec45a9a47fd1afb7588134f11f0b258eb566632298,93458cfc9ed46ddaec8766818dbd72eb,m,1985,m,[u'choice_0'],choice_1,[u'choice_0']
817f4b10e26827df217b1758a58d3c461385d33682cef4d7b5f734e18fd4e959,cacdb79bd30034b892b5360e86c955d2,m,1980,b,[u'choice_6'],choice_1,[u'choice_0']
39f5e37d8f3f029a388e822d3eae6637b1938da181cf1210304f5ac5e74b7732,49f89f37486101becab3128c763d9596,m,1958,b,[u'choice_2'],choice_1,[u'choice_0']
c2927e3ce5079b059e8005d06db289f94d79337d5ce2e59aba795fe87f00d617,28b356758fb35cdf99f6d64885bf32eb,m,1979,a,"[u'choice_0', u'choice_4']",choice_1,[u'choice_0']
5bd71c3a24620e06be44151a651d3d5ebf3839cbbd97782ffe80b9218e7b8c0c,93c4f415198a9b6c89183a43baec8301,m,1982,b,[u'choice_5'],choice_1,[u'choice_0']
1053dda92ef5149d6f79be45fcfa1fc939b571651877bbe7558a54a99185986b,0d7ccd20026bcfe0318446e61725af99,m,1986,m,"[u'choice_0', u'choice_1', u'choice_3', u'choice_4']",choice_0,[u'choice_0']
b6cfa018037b872ac06e697f163b6c6202fd582ddb27ce4518b382a22fd279d2,16ee5cabf7aa30014ba6b1869e528f88,m,1981,hs,[u'choice_0'],choice_1,[u'choice_0']
064bbf1fd1274f7e8571d2003dd5956c6ee7c02fd6516f91d0e3a63db6a97db9,e21917603442defc43a01ca005fb17df,m,1987,a,[u'choice_0'],choice_1,[u'choice_0']
ba61c215f90e4b15e3821087872ac25c1b13e8a26443deaca8526714dd55a160,3f1dc3532a3204a246ea6a3deed756d0,m,1973,hs,[u'choice_0'],choice_1,[u'choice_0']
fe57ae7421c3902f2feb37f27b7c7868220deec9de1e69732e60b55c63e06424,c09f87ab9bf486e8a7519e8b8497432e,m,1987,m,"[u'choice_0', u'choice_8']",choice_1,[u'choice_0']
476fe9bb78cb709babbded931330c5ceb88bd4b5d33bc91034c2fb215fbdc3e4,acedb6919df082ea4ea9f108bc89e486,m,1965,hs,"[u'choice_0', u'choice_4', u'choice_6']",choice_1,[u'choice_0']
43bbeeadc6218915aa74f64acec791a074c31d5782d1cf7c9086eacc5b5c6d65,59acd820083fddab753aff4307ee71d0,m,1982,m,"[u'choice_0', u'choice_1']",choice_1,[u'choice_0']
b193795935bfa47b30e69b3638f1e2342971547bfe08bdd5a6750dfc3013331c,3f4e89cf11dd7d61236ee081a4cc37b9,m,1994,b,[u'choice_0'],choice_1,[u'choice_0']
4ed6edb4d811a2a28d195eec2825947fd2c73b0b3c7a3572b4774fa675dccdb6,5a3a8d468f534db7e0a40b46084d92bc,m,1985,hs,[u'choice_0'],choice_1,[u'choice_0']
af88713c13921b3dfab7bb7eba8209df080d2e37f9ca8354c0177e2a7f3c6aec,04ce92886943e347561ca64269ac21b3,m,1962,b,[u'choice_0'],choice_1,[u'choice_0']
9851553b9a6a26778c453ac65cadc3e5161a4cb2adf4f476e45d96ae66d6fdad,f30e953940a0e11c8145ecafe37b8878,m,1971,m,[u'choice_0'],choice_1,[u'choice_0']
35496d479ce584cbc80ff89e00e98ec1d8feaf71180cf69e9225a9c187d00c93,7484d029409fd4511b1620acd67caea8,m,1988,a,[u'choice_0'],choice_0,[u'choice_0']
5c5f75ef7e1bf45831a4db7a2b703e8d5b5ebdcf364d71e122c7a8d22f1f6bdc,60846613b2c1a7fd09715aee958869e7,m,1986,b,[u'choice_0'],choice_0,[u'choice_1']
b974d7227aa233f2d8576067657345edf1296db2e0fd1b7a81f923defbd2472e,b7d9f1b7fa707543cca3e480d3f32fd5,m,1995,m,[u'choice_6'],choice_1,[u'choice_0']
e4e59914437f4a6df607b515f72e71f50889aea1d7bfebfde4d0ff5f89b33fd9,9ccb3efec732253a350d4f5d1da14d1e,m,1983,m,[u'choice_0'],choice_1,[u'choice_0']
b4c39436c818bc65fa2cb14f11896165b134cf27907ef3e0b57c2e186a9068da,a1975dd7fb223c2ce6a1481434acf4f8,m,1981,m,[u'choice_0'],choice_1,[u'choice_0']
87a07b44613f1df6ff36de90a8ae0eea8eca2b9158233658a3ccf4cfff76ec30,adde68ae5b4ce1cbae5f287f21b260f9,m,1964,other,"[u'choice_0', u'choice_1']",choice_1,[u'choice_0']
548e3252b52b0c37677a4d23c9a5f9cec4dfb32c6d074d458b4118a04eee2fc8,0f29a6a4e21494b4b446d25ff36f5cb1,m,1988,b,[u'choice_0'],choice_1,[u'choice_0']
f0113da0709dfac61ddf1d25ba8b7f6f31d74bc73d9b5469f1a116745e7c3bfe,4b9d31e1623ce82b5ac01356f8ddd1ac,m,1967,m,[u'choice_8'],choice_1,[u'choice_0']
e09d1461f47390d8c913478127c60bbf079090da48b1f75efd2e33a21cc47ba9,b328ae4233cfd8a1e13f3d3697953dae,m,1976,hs,[u'choice_4'],choice_1,[u'choice_0']
9d60155b7c461cfcef9d84fc097ec4d165c8dc01b761376c1dab82f6edb713b0,4edcd295c6957d0988e61727918c223b,m,1988,hs,[u'choice_0'],choice_0,[u'choice_0']
c8cb510d94f69d109fe0f1fffd3a82ff3824dc4b2e65a68eb08bfa17f52da2eb,aa62ca8f6d3d3fbfcbbc300ae33eba3e,m,1992,jhs,[u'choice_0'],choice_1,[u'choice_0']
da106ce4aa0b43e780dc07aea22987088661331f0164a2d82d28120b03571887,4acc1e33977d1757347528f5aed27b94,,None,,[u'choice_0'],choice_1,[u'choice_0']
e47e481a4af4306cb1b8c36a1976b944716a6f43406382820c674a7c902706be,c0516b6d959db58e1283cca5e67ddfe0,m,1976,hs,[u'choice_0'],choice_1,[u'choice_0']
1547735b6d78f24b66b1830432534e72946e749861e25cd286f4b62ba8d1dbe6,5d0ea2c268387685bea274fe578e7534,m,1994,b,[u'choice_0'],choice_0,[u'choice_0']
60ca5f845b75e33e820e5980dea94ab3eed5913deae0ac1e336269fda452c5fe,77527f45ab673355858e5493f2ad2e44,m,1974,a,[u'choice_0'],choice_1,[u'choice_0']
e308cef61cabd3bd5798151809f8b369f7ca827665cf72e8889c6d5e04f0e16f,176576f482e16624ffbbb5c8f6435b46,m,1991,b,[u'choice_0'],choice_1,[u'choice_0']
b050330dd47cb5c6ccf18cba4dc84ca3167dec7d5c680f6dfd003ec6fcdbdc16,e9093c2f0307a73be40bb7a61328b03f,m,1990,b,"[u'choice_0', u'choice_1']",choice_0,[u'choice_0']
c51b009494232f010f2617bb707e9e8ee27f392a734c0f13d8bf8a86494210cc,5c780cd92c76e20e548523540de821ce,m,1983,m,"[u'choice_0', u'choice_6']",choice_0,[u'choice_0']
cbf1d558e97e6804ab1c18be17158d0fb410a58e4314a640c7670ba68a21804c,5d64406cee742557e0e1be0cacef5f40,m,1991,m,[u'choice_0'],choice_1,[u'choice_0']
132487d7c9a9377dcb94f5111fc1fe1c560c64e33596d47c6364df997c219311,88ce504ff791e765e865322b4b15fbea,m,1980,b,[u'choice_8'],choice_1,[u'choice_0']
b3d79298fc730455c7101c72fc1f18a323b2a2798f04cbde3bbb85e46a756cbd,289a291a02b30757598e110179cdaece,m,1973,other,[u'choice_0'],choice_1,[u'choice_0']
7c8847511cfa9dc2dd60375828ef01c297191755ce45c594b41a67ff6436c7cc,a44653c7a8dcecdda019ca9ae306fad3,f,1974,p,[u'choice_0'],choice_1,[u'choice_0']
d4e183d13ce2189aab20693f5500b738fde55421f21d51242bb9425e2ee9e834,549d931d01a104bbc8d0c34b2ccc8021,m,1971,hs,[u'choice_0'],choice_1,[u'choice_0']
0df162732fa4418ab68c6dd81ba069b36a5f3ec5a3ffac662277164141cd933a,a49e2fc8135a03b71ed15c16592bfc49,m,1958,hs,[u'choice_6'],choice_1,[u'choice_0']
405eca063f7cde203b116e14a4e1faff19f29f89781585a002cbe9c93a91d0e1,5c696ddad5b65ee028fe0213fa00febe,m,1964,hs,[u'choice_0'],choice_1,[u'choice_0']
e1bf238f92b0313ef7d16e363a88f35189003ba38d370b9ed064455bb78f3957,455d0888992b7e87a7b98c972b0e3abc,m,1964,hs,[u'choice_0'],choice_1,[u'choice_0']
4433b407ad6f48df767ff60e2eeb1088cffa77be5901f193666be61e27b914a9,fa66016bb85e3457477d5754da08dab9,m,1989,m,[u'choice_0'],choice_1,[u'choice_0']
e442175b0c83e4983419c5625e925cf7f6775cf0ff234105e7ee3408bba49abc,10567c3d6c92b9a91d995d9afb57c86d,m,1981,m,[u'choice_0'],choice_0,[u'choice_0']
50791f30b95f11c873bc9f1aab3124323e58762d7c04cfcd69f7ab6a957313c6,55b822ad50ee4da47760081486f41f9f,m,1985,hs,"[u'choice_0', u'choice_2', u'choice_5', u'choice_6']",choice_1,[u'choice_0']
b44ab1ad0b5fa54eb6a90baf85633f317f20976d870a23c9e535b32768fb984d,5363c383afb3e77a62fa92c3b68cbe81,m,1945,p,[u'choice_0'],choice_1,[u'choice_0']
504a13458ef0b38e4f6a52bb40f12bbe77f4cf3d77d0acfbe3d2e2d672529ee5,30cda866669cd53f267978cfaed847c7,m,1978,m,[u'choice_4'],choice_1,[u'choice_0']
e817c784cbb439aee52a6a08890190ff61efc9b2324761af23ae0175f374ffd0,b0cd68663ad45f8925607700cfe2aa26,m,1989,b,"[u'choice_4', u'choice_6']",choice_1,[u'choice_0']
c393d40e9e2a8bda7c1e83d7d8a93d6cad38567e2f99ed2486e38e455c00e551,ff57073304b5ce5b7828672fc1ab0367,m,1983,,[u'choice_4'],choice_1,[u'choice_0']
