id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3,q4,q5,q6,q7
97ac9a821623db76090d0a143a0d391d9bd4f67dc8fb2d1bd474ecf349dd1aa8,8143b4ce7362771e0406110d65d3b60f,m,1982,m,choice_2,choice_4,choice_6,choice_0,choice_0,choice_0,choice_1
7e76d499aa0cb81917a00519faadfc54e6b4e6b4443e27f8f043d6df0ba7d84e,b484bbb7eb32907fb666daa33db780bb,m,1970,p,choice_4,choice_2,choice_6,choice_4,choice_1,choice_2,choice_1
21f8ad8a13ecfd6e0a56a19771715a1420b12099bd281f4696e450300b0218d0,4553bf54250238f236524986afd31f73,m,1947,m,choice_6,NA,choice_9,choice_2,choice_3,choice_0,choice_2
0f50b048b945e7bd0b6c05c144de6c0291e509ac32c8fcf63957c5a13e93e7c2,b3123024707c6c18a5eb936dfbf3214e,m,1945,m,choice_2,choice_1,choice_10,choice_1,choice_0,choice_1,choice_1
5b152d38c99b143fb3684835b52595bc44f09f911de8188ff5c3c062d4ff1f2a,7c26c4f192ff525a8f2b6696e933ca2b,f,1959,hs,choice_3,choice_1,choice_7,choice_4,choice_1,choice_0,choice_1
b5bf86cf03e4ad6f7b1e9f2d8356c674c8d2e9955ea016b80cee8a35f8138cfc,439cc675acaddfaa941edbb1abf4b484,m,1946,b,choice_6,NA,choice_9,choice_4,choice_0,choice_1,choice_2
8b1c736d254ad3c2298fb580b825b4a98aaba8c3ca8fee659ee2d0f75acb28e6,7b8ddaa64a74b5e55d7d1ce4ae7def0d,m,1995,hs,choice_7,choice_5,choice_6,choice_0,choice_0,choice_1,choice_3
45d3b615c9cac7d1c2e031fa76d162e3b0af6bcb591718036a2542d2ce723a11,9e6ad9e6a868a561c408d5d9c1cca530,m,1970,jhs,choice_4,choice_2,choice_10,choice_4,choice_0,choice_0,choice_1
cc5791b33521360df63cf4b5254705819e4deb6bdc1c6618d81ce53c3912d841,f4a3b61ff503cdad729e5341026022ae,m,1963,hs,choice_8,choice_5,choice_6,choice_4,choice_1,choice_1,choice_3
93cebcf72e57f499f3617091d29682550797064f8389fbbacf4851f46b4b81fd,23c608452385b62ba35b78311647263a,m,1945,jhs,choice_6,choice_0,choice_6,choice_4,choice_0,choice_3,choice_2
