id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3,q4,q5,q6,q7
c459ca11e672b35b6405668128a549b4b1731a98fbc77c4beb18f6d2bb36b8cb,2b495ceafa964d606aeece6790380bd0,m,1986,b,choice_2,choice_2,choice_10,choice_0,choice_1,choice_1,choice_2
8f2a99e33cb3526e744bfc85e594f6fa7631c65236d2fce979b5548688bb9399,2fa0fe8b4e38677bff5b52354363dda9,m,1974,m,choice_8,NA,choice_7,choice_4,choice_1,choice_0,choice_1
2c3ea5f6dd5ae75d039770c1540bd184a50b3ab272f14f48080715ba37fb06bf,b91304c84365c344a905d5c8889268c0,m,1973,m,choice_2,NA,choice_10,choice_4,choice_0,choice_3,choice_1
242fa5021543ae3f94e4c7a2a575a9c3d6b0ff98a1063ecfb71c8bc350c9ea7d,aabe8e70960e1cf81125569509fb51a1,m,1967,m,choice_2,choice_2,choice_6,choice_4,choice_0,choice_1,choice_2
334b78cc76aaa989805a986d1be078a5768204cf0b9dfb6e471ec9a610080164,df1b80c800d3444a4c78880f05697a8b,f,1968,m,choice_8,NA,choice_7,choice_4,choice_2,choice_2,choice_2
d082d3f4aac03e600699e1ba9b5dfb7fc68728a920e813df6b17817e53d34d24,3bb622eb9e3e1c17e43a86fad01af43f,f,1965,m,choice_2,choice_5,choice_0,choice_0,choice_2,choice_1,choice_1
837f6472e91e2b05a1e16546896432135177e9122056c27bd237fba6641d7802,c0ceb38c1604d0182a8cf388da21d338,,None,,choice_4,choice_3,choice_10,choice_0,choice_1,choice_0,choice_1
bee3ec80e006dfb2a6b50eb0bc9bc4e60b4076390bfc76a85fb5e8c66780c212,7f1f06e4f2762c60b8ff8b2dc21d0bca,m,1982,m,choice_2,choice_5,choice_10,choice_0,choice_1,choice_0,choice_1
d37a08afaf6fdc59ac87e0acc94e90c5446593a7e8dc92d2a3c9e859f68f5722,10f7bf51cff9a0c18783564394c92e1f,m,1984,hs,choice_4,choice_3,choice_6,choice_4,choice_1,choice_1,choice_1
359cabbe08cc9a1b0d7dfb03c7c36ec29d6bad9089ee70da959fa8e551513139,0cc3ab6dc3c2acc1242fb0dfcb0a0add,f,1993,b,choice_7,NA,choice_6,choice_4,choice_1,choice_1,choice_1
