id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3,q4,q5,q6,q7
062f7b654761936d86e2a2411f20db8160764a5965006af090bab26c66d61814,5a5f546177a176407016a6179614f2e5,m,1950,p,choice_1,choice_4,choice_9,choice_5,choice_3,choice_3,choice_2
082aaf931a9a49445ba9cdbb870b57eb44b0fbc3e71152532fb031d1c8b7925a,004e62883d0714f85a6ec3518f3c28b7,m,1970,jhs,choice_2,choice_4,choice_7,choice_3,choice_1,choice_0,choice_3
4fae817a277b55e0e03279d1d250861b6544becf032d746f9d6922e5bc59c793,c4e67a71e44889b1e012795ee88fd971,m,1992,b,choice_7,NA,NA,choice_3,choice_3,choice_0,choice_1
85cc354052172051210b8845bb2b040549cdd8f089f75bff99e6054ec8f446dd,73da233bd6b0ce413ad43c5f4d76b144,m,1976,hs,choice_8,choice_0,choice_6,choice_4,choice_3,choice_3,choice_1
d2da3c09fcea9cbc2dc29594c5503092122b88578be1a88b9a7ba2697e4e4d36,364465f95928481f2c0bfb5df38b55b3,f,1977,hs,choice_2,choice_4,choice_8,choice_4,choice_1,choice_1,choice_3
769032e03db4ca025578c097ef90e52626e3574059728452c79f6abe2176114a,8d9f5ca0c87e7c4c76e5a778e52554f3,m,1986,m,choice_4,choice_3,choice_10,choice_4,choice_3,choice_1,choice_1
f8db0f80b33e8138055168154dea28691fdf683717360c5fb4a510c4eac8dce2,d2d9171d23520b4482602338041df908,m,1959,m,choice_2,choice_4,choice_8,choice_4,choice_1,choice_1,choice_3
191f0d22ba9ca4ce8b4ea1107690cc3cb3ef67317e9cecd56457f0ee57629d99,c1f4644ba071e2468a434801e121a7fb,f,1971,m,choice_2,choice_3,choice_7,choice_4,choice_1,choice_1,choice_2
c22d3443e1c2913f605a8ec53eb93b0f486211ec03927192a9739772a38d2b68,4ae0846f94cb28a36d1577b63653309a,f,1986,jhs,choice_4,choice_0,choice_7,choice_4,choice_1,choice_0,choice_2
c0fea3571918cf7aa5318f9491b217e1f0161a4afc88681091efdca5d104f1a6,d04935db40a42776273a79197547adf8,m,1992,b,choice_4,choice_2,choice_6,choice_0,choice_1,choice_1,choice_2
ecd2ead7f7c51c33a7714aedf75477a164f48eef90f04883d37adaa2f9e91aa1,83e6a6a7eec264aed32f9dc46bdbd21c,m,1982,m,choice_4,choice_2,choice_7,choice_4,choice_1,choice_0,choice_2
9f61681dd3cb2c15db1e84eca418a3b82fca6026d1c32b03b98dc4d54260021c,45e99f7f7bec6e405d0da234f4ae7ff0,m,1977,hs,choice_2,choice_2,choice_6,choice_5,choice_1,choice_1,choice_3
1cd42622ea66340ba7e1fddcb48b35578d0715e8056dc992ed3107dfcf3391fd,b27e44d5ba15d161a1377a38250fe18a,m,1952,b,choice_6,choice_0,choice_10,choice_4,choice_0,choice_0,choice_1
9c09b5d4dc44e51c898298614bf0f01f527c45780e3f8bc7ea09ca63178ae91b,59d558b31246c457ea45e2b0115d2fc6,m,1978,hs,choice_3,choice_4,choice_8,choice_4,choice_2,choice_1,choice_1
a53e108862fd38e6e25a807dbc088a4ba55a188584affa998e77ad2ce02ab28f,0d67278958c860764c9bf30a4d801125,,None,,choice_3,choice_4,choice_8,choice_4,choice_0,choice_0,choice_3
