id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3,q4,q5,q6,q7
97ac9a821623db76090d0a143a0d391d9bd4f67dc8fb2d1bd474ecf349dd1aa8,db77096b49ae4b1811acd68e8404f89d,m,1982,m,choice_0,choice_1,choice_4,NA,choice_1,choice_2,choice_1
2acc33c85156a5eed9fda3c2bda19579aa803a7b9187fb21d7206fc3dce58660,bafededb4194e6a703dd2155f088e3b3,m,1959,m,choice_6,NA,NA,choice_4,choice_1,choice_1,choice_3
8e00a6d926814adcdcfa5fcc898ad8c0aae8014bfa414551654faa5b18e6f163,e9378140c5752369ea4f67a7526e070c,m,1992,hs,choice_7,choice_1,choice_6,choice_4,choice_1,choice_1,choice_3
51a4c2b3a778716618d255a70292ee9ec5323b547827b641225af063b79eec8a,0390db85ba09300cb05acc0041f77a1a,m,1978,b,choice_8,choice_1,choice_9,choice_3,choice_1,choice_0,choice_3
1e7c2d3e71bde6cbd5e91d476d2b056792171487843aa8a509472afa92afa16d,7f274b68ece38a9049040283f74ea507,m,1963,m,choice_0,choice_1,choice_6,choice_4,choice_0,choice_2,choice_2
4812b3a4175ce552655c11c93a423284960c2e11a56c92456ccd1d1bb7e84b04,dc7b9dd517def7690ea7b26f8ab0a440,m,1958,m,choice_2,choice_0,choice_10,choice_4,choice_1,choice_1,choice_1
a0a5449427d0ef62a6ae0870748b69789ee261c6b7017306057dc1a076ab4c12,7c97618f9eee587360c793e34c1213c7,f,1976,m,choice_2,choice_4,choice_6,choice_1,choice_1,choice_0,choice_2
7b9a9eadd70da4614868d3180b9c857b8e5fc7f4a9db83fc4169bebbb5ef4390,2e82268156dd92c187b42d10fb5e1512,m,1983,m,choice_8,choice_0,choice_6,choice_4,choice_1,choice_1,choice_3
c5fd30a101d7e07c3acfc894f2948662e03bf93d9bf035197c91e463ba0c35a1,bf4b9eabb4c75560ca43651d9e5e07a2,m,1973,hs,choice_2,choice_4,choice_6,choice_1,choice_1,choice_1,choice_1
427ccba9986f168c3042415e01336ce7fa65e29a472a1b2dd5d535133eb4ae51,048b5783d763243996df180dcb531a06,m,1968,hs,choice_2,choice_4,choice_6,choice_4,choice_1,choice_2,choice_1
c88f710e2590f3bd5b24d221fc9f13235503d7be5d519817b4f5219a0e9ac069,b221b39960e0f130cbd28ee375cfbe70,m,1967,m,choice_3,choice_5,choice_1,choice_4,choice_1,choice_1,choice_3
306744df8b4fb56edb42f4f96b008896161dcc0972ee8db750c7afa19216589f,9755d6bc8c364d64ab25041e08b97217,f,1992,hs,choice_7,choice_5,choice_6,choice_4,choice_1,choice_0,choice_1
47ab3d0eb5362a5ecee1e5cd74525f80b1ed704af8f592f66515747f4936aa62,06eae2324f48d4e1053d4fe4d7578ecc,m,1983,b,choice_4,choice_4,choice_6,choice_5,choice_0,choice_0,choice_3
90560220ba56255e5bc31ad1aa32c3e0730c98f7e211177b51a0448abcdc6382,458c567833bd0ce5ec34a04b30696bca,m,1973,m,choice_2,choice_4,choice_6,choice_4,choice_1,choice_1,choice_2
2aab661d173d586ded7356fbcdbf582e6b0a3517ad50e6f4e272d606724b2fe8,0f137e8ebf22e61ec3c373036355844d,m,1987,m,choice_2,choice_4,choice_6,choice_3,choice_2,choice_1,choice_2
7d542a179beae90ea58a30c8c3f0219e8ab33c21cd03b5dd10ba3405ce5cc5af,0f9a65f9ee05491f60a6296ac3b96073,m,1988,m,choice_4,choice_2,choice_6,choice_3,choice_1,choice_0,choice_2
829afceea741b687cc3e914d06eef274dae93af5c01ce149da27396d980d0925,34e6476c3f99ae000d400c5e7c47d6c3,m,1983,m,choice_2,choice_5,choice_6,choice_4,choice_1,choice_3,choice_1
f299f4f620a2868bc7671449f873a5fb9af906b33f35ad1916189507b3a2ea1f,257bc65382b4a48f81f1ff6b676ca0f4,m,1980,m,choice_2,choice_3,choice_7,choice_4,choice_1,choice_0,choice_2
e9d5c250867168755b7e6faff5f7c9bc99a65e851ab8d17a9b4d4224803e2f0e,3760825d8eebb9716de77cc83bd5a372,m,1976,m,choice_2,choice_3,choice_6,choice_4,choice_0,choice_2,choice_2
99a0f0f813e11893b8e7741b2df89b604eb5b4f1e1895cece24d5b4f11457d38,1b9abf208a31aed4609d4d100ed5a723,m,1972,b,choice_4,choice_3,choice_6,choice_3,choice_1,choice_1,choice_2
8f599f0d2f18ad2cf73935803a3e82493525a9ab5741daa3d81673a409cf85ff,769849a1a9950b8accf6c8d497eead7d,m,1967,m,choice_2,choice_5,choice_6,choice_3,choice_0,choice_1,choice_2
52f43da7d27c3ed43542cfdb6252535fd9389c0bb3d7db702c1a68cb75ca2777,a823361f077969881e2a13ea209ad37c,m,1993,m,choice_7,choice_2,choice_6,choice_4,choice_1,choice_1,choice_3
b7727ea02ddea3dbaf09397fd7ae171fad73c051ecb2d9079447ea3d5d81c6c6,78fb3b95cf3bced63ac2d122ebb0c2df,m,1975,b,choice_2,choice_4,choice_9,choice_4,choice_1,choice_1,choice_2
86930ac5f310fb1e4491afd57689bb33fd92125d24e7467673580067127c0676,006edf9a544fb6f96ee3c3bae610f910,None,None,None,choice_9,choice_5,choice_11,choice_5,choice_3,choice_0,choice_0
502f28cdef3d3753eae401db195c48567a758327b7c8c95d8f6751ae66cf57e9,168868de6d26cc226e8ee7079d30bb2f,m,1987,m,choice_8,choice_3,choice_6,choice_4,choice_1,choice_1,choice_3
a15912629cdb97406752bef889a8b8bec1eda14b924d7a8c3b584684c3577095,da02eb5dd9dc1b4447e003cbd38cfbec,m,1990,m,choice_2,choice_3,choice_6,choice_4,choice_0,choice_2,choice_1
af86de616ba4609362d0acd46995fb22f14a0f50e370ecbce8291a741a8e0636,4c45813e98fd930dcfde9a08cffbea27,m,1993,hs,choice_7,NA,choice_10,choice_4,choice_1,choice_1,choice_1
addb89568594b7d2af892fd69e68084820e6c8bfb3a932eef47eae6893492781,72aba126004dbc12f1394ae98263415f,m,1971,b,choice_4,choice_5,choice_9,choice_4,choice_1,choice_1,choice_3
8bb71264d6dbfd7960086a7733480e13c55ea8e32cfcdb60bc3d1a9b31c41512,8d20c20ef9a5c3ab45d7b3f088a4421e,m,1983,b,choice_4,choice_5,choice_6,choice_3,choice_0,choice_0,choice_1
9625ccb2a5b74d7605dbc9efa9aa3a2b9e5d687ac303a45a0e448de117023d6f,55becb92a684559895d39d0c9e879264,f,1992,,choice_4,choice_3,choice_10,choice_4,choice_1,choice_1,choice_1
52a547e9841df6d57e3982dac7ada05f50e237baf4fcf99f140507b7919ff394,9566a5c7082305264ba1451c5c326a99,m,1977,m,choice_1,choice_3,choice_9,choice_4,choice_1,choice_3,choice_2
2165034fd1787e9b8664f6182bfeaffb7f35328295103d10a9d908b258b9e327,22937647e48f4b308cca6c1002d355ef,m,1981,m,choice_2,choice_5,choice_8,choice_1,choice_2,choice_1,choice_0
084fdc652c6ef8bad3a226ca8e7e21035b77ef8b08dde052dd986efb58a36b67,9f05e75a90fdbd6ee22798dc4464c348,m,1983,m,choice_3,choice_2,choice_6,choice_3,choice_1,choice_1,choice_1
c0ab84ac13d3ca99e284f44698d0ef9d4aa475b5611e74e6c05ac0ea66e7f130,094286f37a72cd4a3c3a1c90cb4a00b4,m,1975,b,choice_2,choice_4,choice_3,choice_4,choice_0,choice_1,choice_1
280372fd15eb4b20783eda76aee3214750dda925d550a463bb9ec2acc33abe61,7525e07f4df8f6f5c33df7f2168f07ef,m,1981,m,choice_1,choice_4,choice_9,choice_4,choice_1,choice_0,choice_2
36e3fb2cdb31d1165767bdc81174022482292599b57628d69ed5de0ce1f0bac2,97f89f3650e43de86f6cb12be1aca103,m,1986,m,choice_2,choice_3,choice_1,choice_4,choice_1,choice_2,choice_1
ac50b70e31f3c48b9fe4427a1256006baca19d6607c832aa934329b9d641710c,bc13886f09a440cd3e8ef673bfcaab0d,m,None,m,choice_4,choice_3,choice_6,choice_4,choice_1,choice_2,choice_2
cacbfb046071d8a7ee1ed3d1998d0f3bfb318d82b03b8cb6c694d5b201c3c273,7cc43e192dbd209b16accb3bb129f2fd,m,1986,m,choice_4,choice_3,choice_7,choice_3,choice_1,choice_1,choice_2
a9e74a494b67b9c53baba95433f5286a1a21946e72e79bd37440608123ac571c,951a6aff04ef7b249959b15ad7f67d5d,m,1970,m,choice_2,choice_4,choice_4,choice_4,choice_0,choice_1,choice_2
101e7ca654f02c8c889ef868e202aff987a1519986de4d631acc0c56c21bf7ea,0a591d4a497b1e8df9180889c7a9e266,m,1973,hs,choice_4,choice_4,choice_9,choice_3,choice_0,choice_0,choice_3
c49ee195e77cdc37374f2d3e7c145e5b0f147dd861d73367e69562572ef7044e,e20580441ef2ce922232768efea0e689,m,1986,m,choice_8,NA,choice_6,choice_4,choice_1,choice_1,choice_1
287c63f775f3e3cd9155e642b62eb12d417e94f3c4b2fc03eaa7e89325f7ecf5,c7695b53ee30abc7dba935ebd406770d,m,1990,m,choice_7,choice_0,choice_6,choice_0,choice_0,choice_0,choice_1
5c8a859a3f914b5b89468b74b03a3946d21e21aa9545429d505240a23df280f7,ebe3d385f70e59529e2d246342757a41,m,1988,m,choice_7,choice_2,choice_6,choice_4,choice_1,choice_1,choice_2
820145831ec4d08791f25417ed11b7d319c91bcaed1c5d5ebdefd86974ae9457,d9331899ebf4cdf05fb2d1b63b132b63,m,2013,b,choice_7,choice_3,choice_8,choice_5,choice_1,choice_0,choice_2
c2300adf556db87aaaeababfcf5d4571af0a1809f01babcd6cde23e876c914d6,33a2e00cd441a23905db5d1eb38ab202,m,1962,p,choice_1,NA,choice_9,choice_4,choice_2,choice_2,choice_1
92d7915867ea58454c60a0c72dc20c55c4a5e05b1f670dd6d97c9c613c157964,77dbcffd7237e81796bb88851ff68485,m,1964,hs,choice_4,choice_4,choice_8,choice_3,choice_1,choice_1,choice_1
24694fb013f283718f9f0fbd0a27277d8552abc2ed12dd6045407ae5f1ca735e,12dbccbea594bf268e2e185edb79b4fc,m,1983,m,choice_8,NA,NA,choice_3,choice_1,choice_0,choice_2
62367f043a40c56cd1c7980d4295b44ecdfcbcef5e50253b94e0d851c0c891cc,b30866874563269389c3f06113d3a5ca,m,1987,b,choice_7,choice_0,choice_6,choice_3,choice_1,choice_0,choice_2
a11b83194aedf0886752dc6e44cc66f21df45c2b66985e43964ea5bfb5021a2a,0b5abc741fbf89a88f4918f5f009a4eb,,1991,m,choice_2,choice_5,choice_10,choice_4,choice_1,choice_1,choice_1
f1d66fa0bd6c1a9f5e2d7411d2b4dfaca80b4bf20cb3b9144ed78aa7c1d4e580,d90b5733c17692206247c828a282c87b,m,1981,b,choice_2,choice_5,choice_9,choice_0,choice_1,choice_0,choice_1
fadaa4a698c4d9d9309f85f109cfc1d4500e229121cc858c801c48cd547c28e5,6bebc22289f29419cc94adcfbfffd0ae,,None,,choice_2,choice_5,choice_8,choice_3,choice_0,choice_2,choice_1
65c156576f5f408f00162eaad4a2d6cc889dfe0b1cc73178e1175f807901315e,f9456c2b065b63323fff9f3da50b700b,m,1989,el,choice_4,choice_5,choice_10,choice_3,choice_1,choice_1,choice_3
d47cf392f6179911371c216eac30c5a6b72e4dc09cda7e4c29dfbac3c3dbac18,2384e0aedbafdec4184399720b411861,m,1975,other,choice_2,choice_4,choice_6,choice_4,choice_0,choice_0,choice_1
9ee04b6f8151c7ef58a12a60ee96ec4ea3e89019452d3262ee58828da44bc8ca,64ca63c558ad428035812f27bfb4c355,m,1978,hs,choice_4,choice_4,choice_8,choice_4,choice_0,choice_1,choice_1
ea0d83cce65fed793cb3510d5196f4a2456c29035ebea90b931d89c81695aa84,3ba7b4d8ed15158173c46ec8df656a49,m,1980,p,choice_1,choice_5,choice_9,choice_4,choice_0,choice_1,choice_1
dcacd766a0b06d8c73c6d465b2226799664357904708d2c5ffbda91c95445131,48d076d5cdc364768a9e6443ee5ae7f8,m,1970,hs,choice_8,choice_0,choice_10,choice_4,choice_1,choice_1,choice_2
11022439a1ff433cc6f4c8a99513d8162f835a1eb2de325188a05f4f2b430c8b,8e1a1d824607b8b91853bca51801ad5f,m,1982,hs,choice_8,NA,choice_10,choice_3,choice_1,choice_1,choice_3
27a739632ade31739cb61f1087b85e31ba913fc71e55af701ffea0929461a71a,f31c5ad8c357e9cb562bdc81d57e1a95,m,1974,hs,choice_2,choice_2,choice_10,choice_4,choice_1,choice_2,choice_2
c35b0a579a10c1c53219bc2443091f44da9eac7129f2315a737383098cdb56f8,f964ff5c0b12dfabe442911aa9978693,m,1991,b,choice_7,choice_5,choice_6,choice_5,choice_1,choice_1,choice_1
50ceb4d20d29ab181f62852efa2c9d53d8763281c314f1848a514e46a1aab98e,b2305924c9e975356e80d7b3d54ee491,m,1961,b,choice_2,choice_5,choice_9,choice_4,choice_1,choice_2,choice_2
3bd8f367f6968f08a599c2c25e3e0538100508d7282e8cb4f353057e60d59676,d322961adb41b24aa7db63047b30a1f2,m,1988,b,choice_7,NA,NA,choice_3,choice_1,choice_0,choice_2
6bcfd3ab86eae1b050a3f877f0a20e788fe5cb23f85e4bb87e6940fd7a3684a3,0e31b734770f88fb80ad2c35cab06485,m,1974,hs,choice_4,choice_4,choice_10,choice_3,choice_0,choice_1,choice_1
000a356547e5e0086fde900077141473c96372121f6fbbcd06df505020aa6964,fb8dd99dbecb5148313472e9ca86b212,m,1983,m,choice_2,choice_2,choice_6,choice_1,choice_1,choice_2,choice_2
0055eba578e73a998c0575be6d662675965d2d48a10b7636d0fb270921635085,1246040d6709709d8cbabd53b94441b7,m,1980,hs,choice_8,NA,choice_10,NA,choice_0,choice_0,choice_1
d2abc4499182b6279c06bbe2ebc46432c4fb8d8f8a21977970ec2fc192644e25,a569bc95e61c176bab8768ca556056ae,m,1968,b,choice_8,choice_2,choice_6,choice_3,choice_1,choice_0,choice_2
953c14bb1dbe63261b3bea5a89619acfc04c8bfaa73ba560c9c974ed830b48b8,7493ce56cec34c3697991319c19287a8,m,1972,m,choice_2,choice_5,choice_10,choice_0,choice_1,choice_1,choice_2
3fa3d7c6b0596250c3b5244d6868861bb86a3b19b1d14779a96ddff79e277d75,fbeb4306837f1cfb02c88f8a4d652907,m,1985,hs,choice_8,NA,NA,choice_4,choice_1,choice_1,choice_1
356e2b7ab2a17e623546c7939c5938ec5d023d1e131b73617156f10069f325fd,345e3bfd8b04b66f1dc81b8a4bae9933,m,1986,b,choice_8,choice_3,choice_8,choice_0,choice_1,choice_1,choice_2
5e88e56579fcb4d362343f191834be487c095023bf4a1bbb39ca56928a6ca1f9,d1cf07536f31fadfe5a4305b0b3a8454,m,1987,a,choice_4,choice_2,choice_6,choice_4,choice_1,choice_1,choice_2
3d922fd353a8b056bf55abd27749be676d2e98a150e3c306094da1fa10c05097,48c82b5569878ae96962f3b55d36e288,m,1981,hs,choice_4,choice_2,choice_6,choice_1,choice_1,choice_0,choice_0
d9328dcc1420073b93b691456b09e78bfbe375335920cf36cf7622da518a048e,cc0290c0874c7ada935ff028948bfc9f,m,1977,m,choice_2,choice_5,choice_10,choice_4,choice_0,choice_1,choice_2
